egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry,geometry_wkt,longitude,latitude
1712124,1004,1020,1110,3101,Appenzell,AI,POINT (9.407463357832217 47.3263323905756),POINT (2748816.514 1243585.2),9.407463357832217,47.3263323905756
1712125,1007,1020,1110,3101,Appenzell,AI,POINT (9.407265001647161 47.32616040240699),POINT (2748802.004 1243565.708),9.407265001647161,47.32616040240699
1712126,1004,1020,1110,3101,Appenzell,AI,POINT (9.407079148667778 47.32634107998501),POINT (2748787.455 1243585.437),9.407079148667778,47.32634107998501
1712128,1004,1030,1110,3101,Appenzell,AI,POINT (9.407022564190195 47.32559000503071),POINT (2748785.274 1243501.851),9.407022564190195,47.32559000503071
1712129,1004,1020,1122,3101,Appenzell,AI,POINT (9.407342118907913 47.325805118116044),POINT (2748808.823 1243526.366),9.407342118907913,47.325805118116044
1712130,1004,1020,1110,3101,Appenzell,AI,POINT (9.407065211969615 47.32581439639556),POINT (2748787.871 1243526.872),9.407065211969615,47.32581439639556
1712131,1007,1020,1110,3101,Appenzell,AI,POINT (9.406778805244434 47.32577351472025),POINT (2748766.341 1243521.785),9.406778805244434,47.32577351472025
1712132,1004,1030,1110,3101,Appenzell,AI,POINT (9.411191891487606 47.32428752132171),POINT (2749103.996 1243365.002),9.411191891487606,47.32428752132171
1712133,1004,1030,1110,3101,Appenzell,AI,POINT (9.403507265641556 47.326798610226675),POINT (2748516.253 1243629.521),9.403507265641556,47.326798610226675
1712134,1004,1020,1121,3101,Appenzell,AI,POINT (9.403684249147704 47.32704120984617),POINT (2748528.952 1243656.82),9.403684249147704,47.32704120984617
1712135,1004,1020,1110,3101,Appenzell,AI,POINT (9.40377575099086 47.32671326881505),POINT (2748536.78 1243620.544),9.40377575099086,47.32671326881505
1712136,1004,1020,1110,3101,Appenzell,AI,POINT (9.404017045781414 47.32662659060065),POINT (2748555.256 1243611.367),9.404017045781414,47.32662659060065
1712137,1004,1020,1110,3101,Appenzell,AI,POINT (9.404289752514384 47.326837822624654),POINT (2748575.276 1243635.361),9.404289752514384,47.326837822624654
1712138,1004,1020,1121,3101,Appenzell,AI,POINT (9.404263910826478 47.32654960589846),POINT (2748574.126 1243603.278),9.404263910826478,47.32654960589846
1712139,1004,1030,1110,3101,Appenzell,AI,POINT (9.4044922062077 47.32647109269893),POINT (2748591.597 1243594.984),9.4044922062077,47.32647109269893
1712140,1007,1020,1110,3101,Appenzell,AI,POINT (9.404956749408631 47.32636434965399),POINT (2748627 1243584),9.404956749408631,47.32636434965399
1712142,1004,1020,1110,3101,Appenzell,AI,POINT (9.405523551005933 47.326207321208024),POINT (2748670.271 1243567.621),9.405523551005933,47.326207321208024
1712143,1004,1020,1110,3101,Appenzell,AI,POINT (9.405652911361537 47.32642895676547),POINT (2748679.429 1243592.5),9.405652911361537,47.32642895676547
1712144,1004,1020,1110,3101,Appenzell,AI,POINT (9.405838701759246 47.32610116937835),POINT (2748694.383 1243556.42),9.405838701759246,47.32610116937835
1712145,1007,1020,1110,3101,Appenzell,AI,POINT (9.405924036452666 47.32633675435773),POINT (2748700.175 1243582.766),9.405924036452666,47.32633675435773
1712146,1004,1020,1110,3101,Appenzell,AI,POINT (9.406170354218537 47.32626763838893),POINT (2748718.982 1243575.551),9.406170354218537,47.32626763838893
1712147,1007,1020,1122,3101,Appenzell,AI,POINT (9.406044423589096 47.32607588756919),POINT (2748710 1243554),9.406044423589096,47.32607588756919
1712148,1004,1020,1121,3101,Appenzell,AI,POINT (9.406393974154382 47.32620740244393),POINT (2748736.049 1243569.28),9.406393974154382,47.32620740244393
1712149,1004,1020,1110,3101,Appenzell,AI,POINT (9.40635970283498 47.32596250733387),POINT (2748734.142 1243541.996),9.40635970283498,47.32596250733387
1712150,1004,1020,1110,3101,Appenzell,AI,POINT (9.406600654834122 47.32593235885884),POINT (2748752.435 1243539.102),9.406600654834122,47.32593235885884
1712151,1004,1020,1110,3101,Appenzell,AI,POINT (9.406947334084645 47.326033033646006),POINT (2748778.353 1243550.949),9.406947334084645,47.326033033646006
1712152,1004,1020,1110,3101,Appenzell,AI,POINT (9.404893470791102 47.32579122696462),POINT (2748623.815 1243520.18),9.404893470791102,47.32579122696462
1712153,1004,1020,1110,3101,Appenzell,AI,POINT (9.405053223938793 47.325990283946744),POINT (2748635.333 1243542.607),9.405053223938793,47.325990283946744
1712154,1004,1020,1110,3101,Appenzell,AI,POINT (9.406692094067349 47.326103077301),POINT (2748758.869 1243558.25),9.406692094067349,47.326103077301
1712155,1004,1020,1121,3101,Appenzell,AI,POINT (9.405742894451821 47.32527997294628),POINT (2748689.432 1243464.966),9.405742894451821,47.32527997294628
1712156,1004,1020,1110,3101,Appenzell,AI,POINT (9.40627642626821 47.325169843494706),POINT (2748730.059 1243453.737),9.40627642626821,47.325169843494706
1712157,1004,1020,1110,3101,Appenzell,AI,POINT (9.406545828940548 47.32512368056673),POINT (2748750.547 1243449.117),9.406545828940548,47.32512368056673
1712158,1004,1020,1110,3101,Appenzell,AI,POINT (9.406815327290529 47.32513641109609),POINT (2748770.878 1243451.043),9.406815327290529,47.32513641109609
1712159,1004,1020,1110,3101,Appenzell,AI,POINT (9.406766367574948 47.325384885632744),POINT (2748766.485 1243478.567),9.406766367574948,47.325384885632744
1712160,1004,1020,1110,3101,Appenzell,AI,POINT (9.406292216453739 47.32571541665041),POINT (2748729.731 1243514.405),9.406292216453739,47.32571541665041
1712161,1004,1020,1110,3101,Appenzell,AI,POINT (9.40591513358857 47.32584111529696),POINT (2748700.884 1243527.661),9.40591513358857,47.32584111529696
1712162,1004,1020,1110,3101,Appenzell,AI,POINT (9.406019560276317 47.32579004758658),POINT (2748708.918 1243522.183),9.406019560276317,47.32579004758658
1712163,1004,1020,1121,3101,Appenzell,AI,POINT (9.405585038705302 47.325802163386264),POINT (2748676.047 1243522.706),9.405585038705302,47.325802163386264
1712164,1004,1020,1122,3101,Appenzell,AI,POINT (9.405315747330155 47.325719059282115),POINT (2748655.928 1243512.959),9.405315747330155,47.325719059282115
1712165,1004,1020,1121,3101,Appenzell,AI,POINT (9.405981401081455 47.32551611272004),POINT (2748706.798 1243491.664),9.405981401081455,47.32551611272004
1712166,1004,1020,1121,3101,Appenzell,AI,POINT (9.405985797053491 47.325213461721205),POINT (2748707.974 1243458.034),9.405985797053491,47.325213461721205
1712167,1004,1040,1211,3101,Appenzell,AI,POINT (9.408166368821608 47.32777722619637),POINT (2748865.608 1243747.121),9.408166368821608,47.32777722619637
1712168,1004,1020,1122,3101,Appenzell,AI,POINT (9.408372099849245 47.327921852414725),POINT (2748880.751 1243763.586),9.408372099849245,47.327921852414725
1712169,1004,1020,1110,3101,Appenzell,AI,POINT (9.407799099334802 47.32780952517589),POINT (2748837.764 1243750.014),9.407799099334802,47.32780952517589
1712170,1004,1020,1110,3101,Appenzell,AI,POINT (9.407999399712303 47.327636931323866),POINT (2748853.382 1243731.211),9.407999399712303,47.327636931323866
1712171,1004,1020,1110,3101,Appenzell,AI,POINT (9.407862097561091 47.32743457989117),POINT (2748843.571 1243708.46),9.407862097561091,47.32743457989117
1712172,1004,1030,1110,3101,Appenzell,AI,POINT (9.407714393823213 47.327621013136984),POINT (2748831.889 1243728.901),9.407714393823213,47.327621013136984
1712173,1004,1020,1110,3101,Appenzell,AI,POINT (9.408346570953885 47.32762265437914),POINT (2748879.657 1243730.283),9.408346570953885,47.32762265437914
1712174,1004,1020,1110,3101,Appenzell,AI,POINT (9.408046346106829 47.327210427027985),POINT (2748858.12 1243683.896),9.408046346106829,47.327210427027985
1712175,1004,1020,1110,3101,Appenzell,AI,POINT (9.407720197633628 47.327222004984414),POINT (2748833.441 1243684.564),9.407720197633628,47.327222004984414
1712176,1004,1020,1122,3101,Appenzell,AI,POINT (9.407439894590608 47.327430531118516),POINT (2748811.677 1243707.209),9.407439894590608,47.327430531118516
1712177,1004,1020,1110,3101,Appenzell,AI,POINT (9.40739378099805 47.327245318947796),POINT (2748808.709 1243686.536),9.40739378099805,47.327245318947796
1712178,1004,1020,1110,3101,Appenzell,AI,POINT (9.407244634693859 47.326949661009174),POINT (2748798.263 1243653.392),9.407244634693859,47.326949661009174
1712179,1004,1020,1110,3101,Appenzell,AI,POINT (9.406767906334565 47.32633403767208),POINT (2748763.954 1243584.064),9.406767906334565,47.32633403767208
1712180,1004,1020,1110,3101,Appenzell,AI,POINT (9.406789393264908 47.32649744718339),POINT (2748765.122 1243602.267),9.406789393264908,47.32649744718339
1712181,1004,1020,1110,3101,Appenzell,AI,POINT (9.406606169583357 47.32653215341997),POINT (2748751.179 1243605.777),9.406606169583357,47.32653215341997
1712182,1004,1020,1122,3101,Appenzell,AI,POINT (9.407577420483697 47.32700571104178),POINT (2748823.255 1243660.253),9.407577420483697,47.32700571104178
1712183,1004,1020,1121,3101,Appenzell,AI,POINT (9.406530341859972 47.32680707901519),POINT (2748744.682 1243636.19),9.406530341859972,47.32680707901519
1712184,1004,1020,1110,3101,Appenzell,AI,POINT (9.40635167204866 47.326549954830206),POINT (2748731.897 1243607.273),9.40635167204866,47.326549954830206
1712185,1004,1020,1110,3101,Appenzell,AI,POINT (9.406076235903933 47.32656692517541),POINT (2748711.035 1243608.637),9.406076235903933,47.32656692517541
1712186,1004,1020,1122,3101,Appenzell,AI,POINT (9.407340640158175 47.32770060268974),POINT (2748803.423 1243737.038),9.407340640158175,47.32770060268974
1712187,1004,1020,1110,3101,Appenzell,AI,POINT (9.405811297488862 47.32663853578591),POINT (2748690.814 1243616.094),9.405811297488862,47.32663853578591
1712188,1004,1030,1121,3101,Appenzell,AI,POINT (9.40607180487866 47.32679508882718),POINT (2748710.064 1243633.988),9.40607180487866,47.32679508882718
1712189,1004,1020,1122,3101,Appenzell,AI,POINT (9.405538083038659 47.326841322120316),POINT (2748669.602 1243638.115),9.405538083038659,47.326841322120316
1712190,1004,1020,1110,3101,Appenzell,AI,POINT (9.405396099112664 47.326608592204174),POINT (2748659.521 1243611.979),9.405396099112664,47.326608592204174
1712192,1004,1020,1110,3101,Appenzell,AI,POINT (9.405055770457928 47.326700965377306),POINT (2748633.545 1243621.601),9.405055770457928,47.326700965377306
1712193,1004,1020,1110,3101,Appenzell,AI,POINT (9.40497293933106 47.327114548040456),POINT (2748626.133 1243667.412),9.40497293933106,47.327114548040456
1712195,1004,1020,1121,3101,Appenzell,AI,POINT (9.404612367721855 47.32684603641555),POINT (2748599.633 1243636.885),9.404612367721855,47.32684603641555
1712196,1004,1020,1110,3101,Appenzell,AI,POINT (9.404746484450108 47.327324866699975),POINT (2748608.434 1243690.359),9.404746484450108,47.327324866699975
1712197,1004,1020,1122,3101,Appenzell,AI,POINT (9.404519445181222 47.32701254769611),POINT (2748592.147 1243655.216),9.404519445181222,47.32701254769611
1712198,1004,1020,1110,3101,Appenzell,AI,POINT (9.40432444508055 47.32730116287547),POINT (2748576.607 1243686.925),9.40432444508055,47.32730116287547
1712199,1004,1020,1110,3101,Appenzell,AI,POINT (9.40420271308313 47.32713776076865),POINT (2748567.863 1243668.533),9.40420271308313,47.32713776076865
1712200,1004,1020,1110,3101,Appenzell,AI,POINT (9.404028675718386 47.32750367299044),POINT (2748553.692 1243708.873),9.404028675718386,47.32750367299044
1712201,1004,1020,1121,3101,Appenzell,AI,POINT (9.403917368062547 47.32724537952268),POINT (2748546 1243679.954),9.403917368062547,47.32724537952268
1712202,1004,1020,1121,3101,Appenzell,AI,POINT (9.403711638003042 47.32762860192428),POINT (2748529.386 1243722.158),9.403711638003042,47.32762860192428
