egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191724298,1004,1060,1252,3104,Schlatt-Haslen,AI,POINT (2746029.526 1247084.796)
191724342,1004,1060,1271,3101,Appenzell,AI,POINT (2747559.112 1244359.489)
191725132,1004,1020,1121,3104,Schlatt-Haslen,AI,POINT (2745675.791 1248086.518)
191725191,1004,1020,1122,3101,Appenzell,AI,POINT (2747864.427 1244117.48)
191730064,1004,1060,1252,3101,Appenzell,AI,POINT (2750092.601 1245496.028)
191739551,1003,1020,1122,3112,Schwende-Rüte,AI,POINT (2750941.168 1241210.581)
191739552,1003,1020,1122,3112,Schwende-Rüte,AI,POINT (2750921.19 1241318.221)
191739553,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2750929.398 1241115.498)
191739554,1003,1020,1122,3112,Schwende-Rüte,AI,POINT (2750942.031 1241242.023)
191739555,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2750934.013 1241142.581)
191739556,1003,1020,1122,3112,Schwende-Rüte,AI,POINT (2750938.867 1241269.367)
191739557,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2750920.466 1241087.503)
191739558,1003,1020,1122,3112,Schwende-Rüte,AI,POINT (2750945.711 1241301.91)
191740071,1004,1060,1242,3101,Appenzell,AI,POINT (2748656.65 1243926.41)
191740091,1004,1060,1274,3104,Schlatt-Haslen,AI,POINT (2748012.815 1246538.055)
191740092,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2750339.992 1243763.13)
191740093,1004,1060,0,3112,Schwende-Rüte,AI,POINT (2753522.168 1241383.493)
191740094,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2753510.218 1241399.446)
191740096,1004,1060,1242,3111,Oberegg,AI,POINT (2761558.622 1254731.978)
191741801,1004,1020,1110,3101,Appenzell,AI,POINT (2750359.31 1245985.7)
191746247,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2750244.674 1243931.408)
191746248,1004,1020,1110,3101,Appenzell,AI,POINT (2748791.696 1243849.819)
191746249,1004,1020,1110,3101,Appenzell,AI,POINT (2749285.857 1244550.462)
191747052,1004,1060,1271,3111,Oberegg,AI,POINT (2761627.151 1255634.415)
191747071,1004,1060,1252,3111,Oberegg,AI,POINT (2759432.684 1254418.251)
191747501,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2753108.893 1244263.821)
191749198,1004,1080,1252,3112,Schwende-Rüte,AI,POINT (2750906.642 1241674.963)
191749212,1007,1080,1252,3101,Appenzell,AI,POINT (2747791 1244480)
191749213,1007,1080,1252,3101,Appenzell,AI,POINT (2748838 1244361)
191755038,1004,1060,1271,3104,Schlatt-Haslen,AI,POINT (2748079.063 1248782.478)
191760877,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2749766.723 1243346.966)
191760878,1004,1020,1110,3101,Appenzell,AI,POINT (2750272.933 1246015.312)
